0.000000 0.001182 0.000000 -0.000040 0.001954
0.001000 0.005722 0.001986 -0.000040 0.001536
0.002000 0.010090 0.003971 -0.000040 0.001199
0.003000 0.014339 0.005953 -0.000040 0.001024
0.004000 0.018514 0.007933 -0.000040 0.001069
0.005000 0.022056 0.009912 -0.000020 0.000397
0.006000 0.026291 0.011888 -0.000020 0.001198
0.007000 0.029920 0.013863 -0.000000 0.001295
0.008000 0.033569 0.015796 0.000020 0.001874
0.009000 0.037519 0.017805 0.000040 0.002916
0.010000 0.041355 0.019725 0.000060 0.004387
0.011000 0.044929 0.021741 0.000101 0.005280
0.012000 0.049173 0.023705 0.000121 0.007732
0.013000 0.053326 0.025605 0.000141 0.010503
0.014000 0.057840 0.027628 0.000161 0.013565
0.015000 0.062245 0.029587 0.000181 0.016905
0.016000 0.066700 0.031544 0.000201 0.020514
0.017000 0.071799 0.033499 0.000201 0.025362
0.018000 0.076240 0.035451 0.000221 0.029277
0.019000 0.080971 0.037494 0.000241 0.033465
0.020000 0.085915 0.039351 0.000241 0.038906
0.021000 0.090695 0.041400 0.000261 0.043421
0.022000 0.095905 0.043350 0.000261 0.049189
0.023000 0.099956 0.045075 0.000281 0.054042
0.024000 0.104045 0.047012 0.000322 0.058199
0.025000 0.109511 0.049187 0.000342 0.063810
0.026000 0.113567 0.051004 0.000382 0.068661
0.027000 0.119000 0.053069 0.000402 0.074887
0.028000 0.123237 0.054873 0.000442 0.080290
0.029000 0.127611 0.056665 0.000483 0.086036
0.030000 0.132210 0.058734 0.000543 0.091117
0.031000 0.137277 0.060661 0.000583 0.097654
0.032000 0.141830 0.062587 0.000643 0.103425
0.033000 0.146564 0.064511 0.000704 0.109582
0.034000 0.150864 0.066433 0.000784 0.115104
0.035000 0.155415 0.068353 0.000865 0.121129
0.036000 0.160179 0.070271 0.000945 0.127586
0.037000 0.165117 0.072187 0.001025 0.134403
0.038000 0.169017 0.074101 0.001146 0.139569
0.039000 0.173272 0.076013 0.001267 0.145409
0.040000 0.178293 0.078115 0.001387 0.151829
0.041000 0.181437 0.079832 0.001548 0.156770
0.042000 0.185499 0.081738 0.001709 0.162517
0.043000 0.189239 0.083848 0.001910 0.166987
0.044000 0.191991 0.085335 0.002111 0.172419
0.045000 0.195547 0.087446 0.002352 0.176692
0.046000 0.199683 0.089565 0.002594 0.182012
0.047000 0.202574 0.091467 0.002875 0.186239
0.048000 0.206083 0.093366 0.003157 0.191574
0.049000 0.208948 0.095031 0.003458 0.196838
0.050000 0.212295 0.097160 0.003800 0.201069
